Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM4947037,0.9955544471740724,GSE162218,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK driven lymphomagenesis,,"strain: C57BL/6,genotype/variation: ÎNp73Î/Î;p53-/-,mice age: 10 weeks,treatment: Ad-CRE-mCherry",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33310759.0,,,437153,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2020/12/08,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162218/,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK-driven lymphomagenesis.,Life science alliance,2021 Feb,10.26508/lsa.202000794,Basal Control
1,GSM4947042,0.9938719272613524,GSE162218,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK driven lymphomagenesis,,"strain background: ICR,treatment: 30Â°C for 1 week,gender: Female,tissue: Subcutaneous white adipose tissue (sWAT)",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33310759.0,,,437158,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2020/12/08,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162218/,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK-driven lymphomagenesis.,Life science alliance,2021 Feb,10.26508/lsa.202000794,Basal Control
2,GSM3720114,0.9936615824699402,GSE129689,RNA sequencing of mouse carotid arteries after sacubitril/valsartan treatment,,"mouse breeding: (TRAMP x J:DO) F1,genotype: Transgene positive","Purpose: To get insight into mouse strain-dependent differences in vascular remodeling, we analyzed gene expression profiles of the ligated carotid arteries after interventions in C57BL/6J and 129X1/SvJ mice Methods: mRNA isolations from snap-frozen single carotids (n=3 per group) were conducted. Tissue homogenization by Next Advance Bullet Blender with zirconium oxide beads and Trizol. Total RNA isolation using Trizol and Qiagen RNeasy Micro kit. Results: Multiple quality controls showed a reliable RNAseq of mRNAs from the ligated carotid arteries. Specifically, there was less than 2.6% drop in reads that ranged between 26.5 to 37.7 million reads. We found a good alignment and mapping to a mouse genome (82.4 - 91.0%) in this RNAseq study. A differential gene expression analysis was done by DESeq2-1.16.1 within R-3.4.1 for data normalization and differential expression analysis with an adjusted p-value threshold of 0.05 on each set of raw expression measures. Conclusions: Our study shows significant differences in gene expression signatures in carotid arteries from two inbred mouse strains after sacubitril/valsartan treatment. We conclude that genetic background determines efficacy of the sacubitril/valsartan in mice.","Mouse carotid artery mRNA profiles of C57BL/6J and 129X1/SvJ mice after two treatment regimen of vehicle, valsartan or sacubitril/valsartan were generated by deep sequencing, in triplicate, using Illumina HiSeq2500v4 high-throughput DNA sequencer.",31077344.0,,,252304,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/10,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129689/,Strain-selective efficacy of sacubitril/valsartan on carotid fibrosis in response to injury in two inbred mouse strains.,British journal of pharmacology,2019 Aug,10.1111/bph.14708,Basal Control
3,GSM4263015,0.9934707283973694,GSE143581,P53 dynamics vary between tissues and are linked with radiation sensitivity,,"strain: MMTV-TGF-alpha,tissue: thymus",We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Mouse were treated with ionizing radiation (10gy) and sacrificed at different timepoints and tissues extracted and processed for RNA,,,,331843,GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/30,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143581/,,,,,Basal Control
4,GSM5704665,0.9932056069374084,GSE189618,Mouse kidney-specific genes,,"strain: C57BL/6J,genotype: wildtype,tissue: thymus,+/- mnu treatment: MNU-,treatment time: Vehicle: 6 months",Analysis of RNAs from multiple mouse tissues to find kidney-specific genes,"Total RNA obtained from isolated C57BL/6J mice, various tissues.",,,,573465,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/11/29,19,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189618/,,,,,Basal Control
5,GSM4947034,0.9928390979766846,GSE162218,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK driven lymphomagenesis,,"strain background: C57BL/6,genotype/variation: p53neo/R172H;R26CreER/GNZ,tumor type: thymic lymphoma,response to p53 restoration: responder",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33310759.0,,,437150,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2020/12/08,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162218/,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK-driven lymphomagenesis.,Life science alliance,2021 Feb,10.26508/lsa.202000794,Basal Control
6,GSM6202434,0.9924601316452026,GSE204925,The C-terminus of p53 Confers Liver-Specific Gene Regulation and Radio-Resistance in vivo,,"genotype/variation: p53-WT,strain: FVB/N",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,36924496.0,,,650278,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,2022/06/30,51,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE204nnn/GSE204925/,In vivo RNA-seq and ChIP-seq analyses show an obligatory role for the C terminus of p53 in conferring tissue-specific radiation sensitivity.,Cell reports,2023 Mar 28,10.1016/j.celrep.2023.112216,Basal Control
7,GSM2508198,0.9919598698616028,GSE95371,RNA-seq analysis in MMTV-TGF- α Mice thymus,,"strain: C57BL/6,tissue: Carotid artery,treatment regimen: Prophylactic, 16 days,treatment: Valsartan, 27 mg/kg/day",we report the comperative transcriptome analysis of the MMTV-TGF- α female mice thymus tissues,3 different fed types,29511668.0,,,97260,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/04/11,3,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95371/,Transcriptome Analysis of the Thymus in Short-Term Calorie-Restricted Mice Using RNA-seq.,International journal of genomics,2018,10.1155/2018/7647980,Basal Control
8,GSM4263016,0.9918273687362672,GSE143581,P53 dynamics vary between tissues and are linked with radiation sensitivity,,"treatment: 10gy_IR_1hr,tissue: thymus,strain: C57B6",We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Mouse were treated with ionizing radiation (10gy) and sacrificed at different timepoints and tissues extracted and processed for RNA,,,,331844,GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/30,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143581/,,,,,Basal Control
9,GSM4263014,0.9916825294494628,GSE143581,P53 dynamics vary between tissues and are linked with radiation sensitivity,,"treatment: 10gy_IR_2hr,tissue: thymus,strain: C57B6",We used RNAseq to explore the gene expression changes induced by ionizing radiation across multiple tissues,Mouse were treated with ionizing radiation (10gy) and sacrificed at different timepoints and tissues extracted and processed for RNA,,,,331842,GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/30,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143581/,,,,,Basal Control
