Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
0,GSM7187640,0.9986974000930786,GSE230110,Transcriptional profiling of multiple tissues from mice with and without Apc deficiency,,"agent: none, NaÃ¯ve,strain: C57BL/6,genotype: hRetnTg+",The effect of whole body Apc deficiency on multiple mouse tissues was examined with RNAseq.,Expression data from the noted tissues with and without Apc deficiency.,41413654;41261129,,,775642,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/28,95,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230110/,Nucleophosmin supports WNT-driven hyperproliferation and tumor initiation.,Nature genetics,2026 Jan,10.1038/s41588-025-02408-7,Space Flight
1,GSM5907335,0.9983688592910768,GSE197042,Lung-specific MCEMP1 acts as an adaptor for KIT to promote SCF-mediated mast cell proliferation,,"strain: C57BL/6,genotype: wild type,age: 2 months,Sex: male,treatment: PO, 5 days (control),tissue: lung",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,37041174,,,599383,GPL19057; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/03/13,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197042/,Lung-specific MCEMP1 functions as an adaptor for KIT to promote SCF-mediated mast cell proliferation.,Nature communications,2023 Apr 11,10.1038/s41467-023-37873-3,Space Flight
2,GSM5907348,0.998275101184845,GSE197042,Lung-specific MCEMP1 acts as an adaptor for KIT to promote SCF-mediated mast cell proliferation,,"strain: B6,tissue: Lungs,condition: No treatment",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,37041174,,,599396,GPL19057; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/03/13,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197042/,Lung-specific MCEMP1 functions as an adaptor for KIT to promote SCF-mediated mast cell proliferation.,Nature communications,2023 Apr 11,10.1038/s41467-023-37873-3,Space Flight
3,GSM5907336,0.998243808746338,GSE197042,Lung-specific MCEMP1 acts as an adaptor for KIT to promote SCF-mediated mast cell proliferation,,"strain: C57BL/6,gender: female,treatment: saline,tissue: lung",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,37041174,,,599384,GPL19057; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/03/13,20,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197042/,Lung-specific MCEMP1 functions as an adaptor for KIT to promote SCF-mediated mast cell proliferation.,Nature communications,2023 Apr 11,10.1038/s41467-023-37873-3,Space Flight
4,GSM5721810,0.9982370138168336,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,"strain: C57BL/6,gender: female,treatment: oil,tissue: lung","Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,575988,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,Space Flight
5,GSM5721828,0.998216986656189,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,"strain: C57BL/6,gender: female,treatment: oil,tissue: lung","Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576005,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,Space Flight
6,GSM7187639,0.9982040524482728,GSE230110,Transcriptional profiling of multiple tissues from mice with and without Apc deficiency,,"strain: C57BL/6,gender: female,treatment: 9500+oil,tissue: lung",The effect of whole body Apc deficiency on multiple mouse tissues was examined with RNAseq.,Expression data from the noted tissues with and without Apc deficiency.,41413654;41261129,,,775641,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/28,95,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230110/,Nucleophosmin supports WNT-driven hyperproliferation and tumor initiation.,Nature genetics,2026 Jan,10.1038/s41588-025-02408-7,Space Flight
7,GSM5464796,0.9981958866119384,GSE180563,Contribution of host miRNA-223-3p to SARS-CoV-induced lung inflammatory pathology,,"strain: BALB/c OlaHsd,age: 16-week-old,infected with: mock,time point: 2dpi,tissue: lung","Severe acute respiratory syndrome coronavirus (SARS-CoV) and the closely related SARS-CoV-2 are emergent highly pathogenic human respiratory viruses causing acute lethal disease associated with lung damage and dysregulated inflammatory responses. SARS-CoV envelope protein (E) is a virulence factor involved in the activation of various inflammatory pathways. Here, we study the contribution of host miRNAs to the virulence mediated by E protein. Small RNAseq analysis of infected mouse lungs identified miRNA-223 as a potential regulator of pulmonary inflammation, since it was significantly increased in SARS-CoV-WT virulent infection as compared to the attenuated SARS-CoV-∆E infection. In vivo inhibition of miRNA-223-3p increased mRNA levels of pro-inflammatory cytokines and NLRP3 inflammasome, suggesting that during lung infection, miRNA-223 might contribute to restrict an excessive inflammatory response. Interestingly, miRNA-223-3p inhibition also increased the levels of the CFTR transporter, which is involved in edema resolution and was significantly downregulated in the lungs of mice infected with the virulent SARS-CoV-WT virus. At the histopathological level, a decrease in the pulmonary edema was observed when miR-223-3p was inhibited, suggesting that miRNA-223-3p was involved in the regulation of the SARS-CoV-induced inflammatory pathology. These results indicate that miRNA-223 participates in the regulation of E protein mediated- inflammatory response during SARS-CoV infection by targeting different host mRNAs involved in the pulmonary inflammation and identify miRNA-223 as a potential therapeutic target in SARS-CoV infection.","Standard RNA-seq (Illumina 100nt single-ends, strand-specific, total RNA) of two or three biological replicates per sample. Two time points (2dpi and 4dpi). Three infection types (infected with rSARS-CoV-deltaE, infected with rSARS-CoV wild type and Mock).",35229638,,,519337,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/02/04,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180563/,Contribution of Host miRNA-223-3p to SARS-CoV-Induced Lung Inflammatory Pathology.,mBio,2022 Apr 26,10.1128/mbio.03135-21,Space Flight
8,GSM3316477,0.9981859922409058,GSE117975,Gene expression of 6 different mice strains,,"tissue: Lung,strain: C57Bl/6,feeding intervention: ad-libitum feeding,time-point: ZT10,genotype: wild type",Gene expression of 5 different Collaborative Cross mice strains and one C57BL/6 mouse,Lungs gene expression of mice without any treatment.,30886410,,,192936,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/03/15,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117975/,Cell composition analysis of bulk genomics using single-cell data.,Nature methods,2019 Apr,10.1038/s41592-019-0355-5,Space Flight
9,GSM1481798,0.9981664419174194,GSE60537,Human resistin alters lung mRNA expression from helminth-infected lungs.,,"tissue: Lung,strain: C57Bl/6,feeding intervention: 9 hr time-restricted feeding,time-point: ZT12,genotype: wild type","Goal: To examine the effects of human resistin during helminth infection. Methodology: To examine the function of human resistin (hResistin), we utilized transgenic mice expressing the human resistin gene along with its entire regulatory region (hRetnTg+). Following infection with the helminth Nippostrongylus brasiliensis, whole lung RNA was sequenced in hRetnTg+ mice, control hRetnTg- and naïve mice. Conclusion: In hRetnTg+ mice, many genes involved in inflammation and the immune system, specifically toll-like receptor signaling and chemokines, are significantly upregulated, suggesting that human resistin promotes TLR signaling and inflammation during helminth infection.",Examination of whole lung mRNA from Nippostrongylus brasiliensis-infected lungs at day 7 in mice expressing human resistin,25568944,,,17352,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2014/11/14,10,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60537/,Macrophage-derived human resistin is induced in multiple helminth infections and promotes inflammatory monocytes and increased parasite burden.,PLoS pathogens,2015 Jan,10.1371/journal.ppat.1004579,Space Flight
