Unnamed: 0,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,spaceflight
16,GSM4156447,0.9969444870948792,GSE140192,Comparative profiling of metastatic 4T1- versus non-metastatic Py230-based mammary tumors in an intraductal model for triple-negative breast cancer.,,"tissue: Contralateral normal mammary tissue,cell line: E0771,cell type: mouse mammary cancer,genotype: wt,treatment: LFCR","Purpose: Compare the tumor outgrowth and immunology of an immunocompetent 4T1- and Py230-based intraductal model for triple-negative breast cancer (TNBC). Methods: BALB/c-derived 4T1 and C57BL/6-derived Py230 mammary tumor cells were side-by-side intraductally inoculated in lactating and syngeneic mice, 4T1 and Py230 primary tumors were subsequently resected at 1, 3 and 6 weeks (w) post-inoculation (p.i.), and RNA was isolated from the 4T1 and Py230 primary tumors using in house developed protocols. Results: The differentially expressed genes in the 4T1 versus Py230 primary tumor datasets at the 3 different time points were categorized into 28 hallmark gene sets using GSEA. Nine hallmarks could be related to tumor immunology and collectively showed a decreased difference in expression over time, although every immunology-related gene set remained most expressed in 4T1 primary tumors across all time points. Seven hallmarks could be related to cellular mitosis and tumor progression and were significantly upregulated at 1 w p.i. in 4T1 primary tumors, whereas at 3 w p.i. they became significantly upregulated in Py230 primary tumors, indicative for enhanced Py230 tumor proliferation. The hallmark epithelial-mesenchymal transition was significantly upregulated at 3 w p.i. in 4T1 compared to Py230 primary tumors, indicative for metastatic progression. Gene sets involved in adipose/stromal processes within the mammary gland were downregulated or weakly expressed at 1 w p.i., but became upregulated at 3 w p.i. in 4T1 compared to Py230 primary tumors, indicating that at the time 4T1 tumor cells were less proliferative compared to Py230 tumor cells, the surrounding stroma and fat tissue were more active in the 4T1- compared to the Py230-based intraductal model. The hallmark androgen response also showed a significantly upregulated expression in Py230 tumors at 3 and 6 w p.i., indicating that androgen signaling is important in invasive Py230 tumors. Conclusion: Our findings highlight an innovative 4T1- and Py230-based intraductal mouse model for TNBC with a different tumor outgrowth and associated tumor microenvironment. These differential models may broadly represent the clinically observed TNBC diversity and together provide a powerful tool to evaluate therapeutics.","RNA was isolated from 4T1 and Py230 primary tumors at 3 different time points (i.e. 1, 3 and 6 w p.i.) using the Rneasy Mini Kit (QiAgen, Valencia, CA, USA). All analyses were done in triplicate. In addition, Matrigel® controls were included for each intraductal model and time point, yielding a total of 36 samples. RNA sequencing was done in collaboration with Oxford Genomics using Illumina’s TruSeq chemistry and a HiSeq4000 (paired end, read length of 75 bp) using 2 lanes aiming for 10 million reads per sample.",31921184.0,,,311318,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/20,36,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140192/,Comparative Profiling of Metastatic 4T1- vs. Non-metastatic Py230-Based Mammary Tumors in an Intraductal Model for Triple-Negative Breast Cancer.,Frontiers in immunology,2019,10.3389/fimmu.2019.02928,Ground Control
17,GSM6108504,0.9969171285629272,GSE202332,"Various forms of calorie restriction, but not a nonrestricted low-fat diet, reverse obesity-associated tumor growth and lung metastasis in a mouse model of triple-negative breast cancer",,"tissue: Contralateral normal mammary tissue,cell line: E0771,cell type: mouse mammary cancer,genotype: wt,group: Diet_weight_loss",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,,,,636622,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2022/05/12,54,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202332/,,,,,Ground Control
18,GSM5548440,0.9969148635864258,GSE183000,Transcriptomic profiling of subcutaneous white adipose tissue with selective ablation of Bmal1 at ambient and cold condition,,"tissue: Contralateral normal mammary tissue,cell line: E0771,cell type: mouse mammary cancer,genotype: wt,group: control",Mice with beige fat-selective ablation of Bmal1 were generated by crossing Bmal1fl/fl with Prrx1-Cre transgenics. Inguinal subcutaneous adipsoe tissues were collected under ambient temperature at 220C or  cold acclimations at 10oC for two weeks.,RNA-seq analysis of the subcutaneous fat inguinal white adipose tissue (iWAT) in both ambient(22oC) and cold(10oC) conditions for the BMCtr and BMKO groups.,,,,536123,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/31,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183000/,,,,,Ground Control
19,GSM2221176,0.9968924522399902,GSE83897,Transcriptomes analysis of mammary tumors induced by overexpression of the Ret receptor tyrosine kinase from a new transgenic mouse model,,"strain: FVB/N,Sex: Female,tissue: Hyperpalstic Mammary gland,genotype: MIC Stat3 ko,treatment: Doxycyline (2mg/ml)","Model: The activation of Ret receptor tyrosine kinase regulates mammary tumor growth, tumor-associated inflammation and metastasis. To uncover Ret’s function, we have generated a new transgenic mouse mammary tumor model, in which the human wild type Ret is expressed in the mammary epithelium of mice in a doxycycline (Dox)-inducible manner (system developed by Dr. Chosdosh). Induction of constitutive Ret expression leads to the development of mammary tumors in 60% of the mice. We have found that the Ret-induced tumors have histologic characteristics of the human DCIS. Purpose:  The goals of this study are to compare Next-generation sequencing (NGS)-derived transcriptome profiling (RNA-seq) of Ret-induced tumors to human breast cancer databases in order to determined which cancer subtype is represented by this new tumor model. Additionally, to further analyze the mechanisms underlying Ret-induced tumorigenesis, we will also examine the transcriptome by NGS: in this case, this analysis will be performed on tumors that regress upon dox-food withdrawal, in comparison to the growing tumors. We will also perform similar analysis with the hyperplastic glands, a step before of tumor development. Later, the RNA-seq differential expression data will be analyzed using pathway analysis software as Ingenuity and public available datasets as the Gene Set Enrichment Analysis (GSEA) or the Integrating Motif Response Activity Analysis (ISMARA).","Tumor or mammary tissue mRNA profiles of  bitransgenic Ret/MTB mice or control (Ret/- or MTB/-) mice were generated by deep sequencing, N=3-6, using Illumina HiSeq 2500.",,,,73343,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/30,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83897/,,,,,Ground Control
20,GSM2221180,0.9978774189949036,GSE83897,Transcriptomes analysis of mammary tumors induced by overexpression of the Ret receptor tyrosine kinase from a new transgenic mouse model,,,"Model: The activation of Ret receptor tyrosine kinase regulates mammary tumor growth, tumor-associated inflammation and metastasis. To uncover Ret’s function, we have generated a new transgenic mouse mammary tumor model, in which the human wild type Ret is expressed in the mammary epithelium of mice in a doxycycline (Dox)-inducible manner (system developed by Dr. Chosdosh). Induction of constitutive Ret expression leads to the development of mammary tumors in 60% of the mice. We have found that the Ret-induced tumors have histologic characteristics of the human DCIS. Purpose:  The goals of this study are to compare Next-generation sequencing (NGS)-derived transcriptome profiling (RNA-seq) of Ret-induced tumors to human breast cancer databases in order to determined which cancer subtype is represented by this new tumor model. Additionally, to further analyze the mechanisms underlying Ret-induced tumorigenesis, we will also examine the transcriptome by NGS: in this case, this analysis will be performed on tumors that regress upon dox-food withdrawal, in comparison to the growing tumors. We will also perform similar analysis with the hyperplastic glands, a step before of tumor development. Later, the RNA-seq differential expression data will be analyzed using pathway analysis software as Ingenuity and public available datasets as the Gene Set Enrichment Analysis (GSEA) or the Integrating Motif Response Activity Analysis (ISMARA).","Tumor or mammary tissue mRNA profiles of  bitransgenic Ret/MTB mice or control (Ret/- or MTB/-) mice were generated by deep sequencing, N=3-6, using Illumina HiSeq 2500.",,,,73347,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/30,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83897/,,,,,Space Flight
21,GSM2221181,0.997775673866272,GSE83897,Transcriptomes analysis of mammary tumors induced by overexpression of the Ret receptor tyrosine kinase from a new transgenic mouse model,,,"Model: The activation of Ret receptor tyrosine kinase regulates mammary tumor growth, tumor-associated inflammation and metastasis. To uncover Ret’s function, we have generated a new transgenic mouse mammary tumor model, in which the human wild type Ret is expressed in the mammary epithelium of mice in a doxycycline (Dox)-inducible manner (system developed by Dr. Chosdosh). Induction of constitutive Ret expression leads to the development of mammary tumors in 60% of the mice. We have found that the Ret-induced tumors have histologic characteristics of the human DCIS. Purpose:  The goals of this study are to compare Next-generation sequencing (NGS)-derived transcriptome profiling (RNA-seq) of Ret-induced tumors to human breast cancer databases in order to determined which cancer subtype is represented by this new tumor model. Additionally, to further analyze the mechanisms underlying Ret-induced tumorigenesis, we will also examine the transcriptome by NGS: in this case, this analysis will be performed on tumors that regress upon dox-food withdrawal, in comparison to the growing tumors. We will also perform similar analysis with the hyperplastic glands, a step before of tumor development. Later, the RNA-seq differential expression data will be analyzed using pathway analysis software as Ingenuity and public available datasets as the Gene Set Enrichment Analysis (GSEA) or the Integrating Motif Response Activity Analysis (ISMARA).","Tumor or mammary tissue mRNA profiles of  bitransgenic Ret/MTB mice or control (Ret/- or MTB/-) mice were generated by deep sequencing, N=3-6, using Illumina HiSeq 2500.",,,,73348,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/06/30,23,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83897/,,,,,Space Flight
22,GSM4158495,0.9977478981018066,GSE140259,Distinct signaling and transcriptional pathways regulate peri-weaning development and cold-induced recruitment of beige adipocytes,,,"Adipose tissue provides a defense against starvation and environmental cold. These dichotomous functions are performed by three distinct cell types: energy-storing white adipocytes, and thermogenic beige and brown adipocytes. Previous studies have demonstrated that exposure to environmental cold stimulates the recruitment of beige adipocytes in the white adipose tissue (WAT) of mice and humans, a process that has been extensively investigated. However, beige adipose tissue also develops during the peri-weaning period in mice, a developmental program that remains poorly understood. Here, we address this gap in our knowledge using genetic, imaging, physiologic, and genomic approaches. We find that, unlike cold-induced recruitment in adult animals, peri-weaning development of beige adipocytes occurs in a temperature- and sympathetic nerve-independent manner. Instead, the transcription factor B cell leukemia/lymphoma 6 (BCL6) acts in a cell autonomous manner to regulate the commitment but not the maintenance phase of beige adipogenesis. Genome-wide RNA-seq studies reveal that BCL6 regulates a core set of genes involved in fatty acid oxidation and mitochondrial uncoupling, which are necessary for development of functional beige adipocytes. Together, our findings demonstrate that distinct transcriptional and signaling mechanisms control peri-weaning development and cold-induced recruitment of beige adipocytes in mammals.",RNA sequencing of murine inguinal white adipose tissue samples from peri-weaning or adult mice that were housed at various temperatures.,32139607.0,,,311524,GPL21103; GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/03/02,43,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140259/,Distinct signaling and transcriptional pathways regulate peri-weaning development and cold-induced recruitment of beige adipocytes.,Proceedings of the National Academy of Sciences of the United States of America,2020 Mar 24,10.1073/pnas.1920419117,Space Flight
23,GSM5548439,0.997684895992279,GSE183000,Transcriptomic profiling of subcutaneous white adipose tissue with selective ablation of Bmal1 at ambient and cold condition,,,Mice with beige fat-selective ablation of Bmal1 were generated by crossing Bmal1fl/fl with Prrx1-Cre transgenics. Inguinal subcutaneous adipsoe tissues were collected under ambient temperature at 220C or  cold acclimations at 10oC for two weeks.,RNA-seq analysis of the subcutaneous fat inguinal white adipose tissue (iWAT) in both ambient(22oC) and cold(10oC) conditions for the BMCtr and BMKO groups.,,,,536122,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/31,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183000/,,,,,Space Flight
24,GSM7696420,0.9976398944854736,GSE240336,The tumor-derived cytokine Chi3l1 induces neutrophil extracellular traps that promote T cell exclusion in triple-negative breast cancer,,,"With the rise of immunotherapies as a treatment option for various cancers, there is a critical need to understand the mechanisms through which cancers evade the immune system. In a subset of poor outcome Triple Negative Breast Cancers, cytotoxic T cells are excluded from the tumor nest and restricted to the surrounding stroma, a phenomenon known as stromal restriction. Data from genetically engineered mouse models and human tumors identified that the secreted cytokine Chitinase-3 like 1 regulates the spatial positioning of T cells in several tumor types including breast, lung and colon. We further demonstrate that Chi3l1 regulates the spatial exclusion of T cells through the direct induction and deposition of neutrophil extracellular traps. Given the importance T cell infiltration in the immune elimination of nascent tumors, the future targeting of Chi3l1 should improve immunotherapy efficacy and outcomes in patients with tumors characterized by a T cell excluded microenvironment.",MIC mice were induced with doxyxycline in their drinking water (2mg/mL). The hyperplastic mammary gland was harvested.RNA was extracted and sequenced,38039967.0,,,812114,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/09/30,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE240nnn/GSE240336/,The tumor-derived cytokine Chi3l1 induces neutrophil extracellular traps that promote T cell exclusion in triple-negative breast cancer.,Immunity,2023 Dec 12,10.1016/j.immuni.2023.11.002,Space Flight
25,GSM1213464,0.9975709915161132,GSE50068,MiR-21 is targeted by STAT5 but dispensable for mammary gland development,,,"In this study we identifies miR-21 to by under cytokine control through the transcription factor STAT5 and while miR-21 is differentially expressed during mammary gland development, miR-21 is dispensable for mammary development and lactation.",We refer to wild-type mice (+/+) as WT and to mice lacking the mir-21 (-/-) as KO mice.,,,,13274,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2013/08/22,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50068/,,,,,Space Flight
