,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
0,GSM5722579,0.9991809725761414,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576673,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
1,GSM5722573,0.9991581439971924,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576667,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
2,GSM5722563,0.9990359544754028,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576657,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
3,GSM5722574,0.9990297555923462,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576668,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
4,GSM5722532,0.9990259408950806,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576626,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
5,GSM5722576,0.9989913702011108,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576670,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
6,GSM5722527,0.9989880323410034,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576621,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
7,GSM5722547,0.9989836812019348,GSE190389,Diurnal transcriptome landscape of a multi-tissue response to time restricted feeding in mammals,,,"Time-restricted feeding (TRF) is an emerging behavioral nutrition intervention that sustains a daily cycle of feeding and fasting. TRF in animals and humans has shown pleiotropic health benefits arising from multiple organ systems, yet the molecular basis of TRF is not well understood. We subjected mice to isocaloric ad libitum feeding (ALF) or TRF of Western diet, and examined gene expression changes in 22 different brain regions and peripheral organs collected every 2 hour over 24 hour. We discovered TRF profoundly impacts gene expression. Nearly 80% of genes show significant differential expression or rhythmicity under TRF in at least one tissue. Functional annotation of these changes highlight tissue and pathway specific impacts of TRF. These findings and resources will offer a framework for future mechanistic studies, and guide human TRE interventions for various disease conditions with or without pharmacotherapies.",Diurnal mRNA expression profiles from 22 tissues from mice subjected to ad-libitum feeding (ALF) or 9 hr time-restricted feeding (TRF) of Western diet. 1035 libraries were sequenced. Each library was sequenced 1 to 4 times (1677 total samples). The 'description' column includes the library names of the samples.,36599299,,,576641,GPL17021; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/12/20,1677,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190389/,Diurnal transcriptome landscape of a multi-tissue response to time-restricted feeding in mammals.,Cell metabolism,2023 Jan 3,10.1016/j.cmet.2022.12.006,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
8,GSM2178312,0.9989463686943054,GSE81947,Quantifying differentially abundant RNA transcripts in mouse kidney tissue with chronic alcohol consumption,,,"Chronic and binge ethanol consumption in humans and in animal models has been associated with the induction of injury (such as fibrosis and scarring) in the liver as well as the intestine, brain, lung and immune system. The effects of chronic ethanol consumption on the human kidney are protective as seen in large population studies are controversial with the preponderance of the data suggesting protection less so than injury. The most recent meta-analysis was by Konig et al (2015) who studied 5476 participants aged 28–75 years from the Prevention of Renal and Vascular End-Stage Disease (PREVEND) study to assess associations between alcohol consumption and risk of chronic kidney disease (CKD). They found in this population-based cohort, alcohol consumption was inversely associated with the risk of developing CKD. The protective effects of ethanol on the kidney present a unique model system to develop new hypothesis on protection against end organ damage by fibrosis.    The data on the effects of alcohol or alcohol consumption at the molecular level on renal parenchyma are sparse. In cell culture and animal models chronic ethanol exposure has been show to induce protein post-translational modification (acetylation), protein expression (upregulation of cytochrome P450 CYP2E1 and local platelet-activating factor receptor (PAFR) ligand formation) as well as neutrophil infiltration and activation. Since hepatocytes do not express PAFR, these data suggest that the response of the kidney to chronic alcohol consumption is distinct from that of the liver or lung. Therefore, we hypothesized that mechanisms of ethanol-induced renal injury or protection are regulated by a protein signaling networks (PSN) modulated acutely by the phosphoproteome and long term epigenetically by the acetylproteome. To address this hypothesis we have initiated a tiered proteomics study to determine the effects of chronic alcohol consumption on the murine kidney and with a secondary insult of acute exposure of lipopolysaccharide (LPS) on the renal proteome, phosphoproteome and the acetylproteome. Data have already been collected on the total proteome and the phosphoproteome using a multiplexing approach. Data will be collected early spring on the acetylproteome.","Kidneys from mice exposed to a two-hit model of 6 week Lieber-DeCarli ethanol exposure with and without lipopolysaccharide (LPS) injection 4h prior to sacrifice were collected for RNA analysis. The study involved four conditions: pair fed control (PF), pair fed control with lipopolysaccharide injection 4hr prior to sacrifice (PF4hLPS), ethanol exposure (EtOH), and ethanol exposure with lipopolysaccharide injection 4hr prior to sacrifice (EtOH4hLPS).  The comparisons made included PF4hLPS vs. PF; EtOH4hLPS vs EtOH; EtOH4hLPS vs PF4hLPS; EtOH vs PF, and EtOH AND EtOH4hLPS vs PF AND PF4hLPS.",,,,71377,GPL19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/05/15,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81947/,,,,,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
9,GSM6664747,0.9989231824874878,GSE216252,Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock,,,"Circadian rhythmicity in renal function suggests rhythmic adaptations in renal metabolism. To decipher the role of the circadian clock in renal metabolism, we studied diurnal changes in renal metabolic pathways using integrated transcriptomic, proteomic, and metabolomic analysis performed on control mice and mice with inducible deletion of the circadian clock regulator Bmal1 in the renal tubule (cKOt). With this unique resource, we demonstrated that ~30% RNAs, ~20% proteins and ~20% metabolites are rhythmic in kidneys of control mice. Several key metabolic pathways including NAD+ biosynthesis, fatty acid transport, carnitine shuttle, and b-oxidation displayed impairments in kidneys of cKOt, resulting in a perturbed mitochondrial activity. Carnitine reabsorption from the primary urine was one of the most impacted processes with a ~50% reduction in plasma carnitine levels and a parallel systemic decrease in tissues carnitine content. This suggests that the circadian clock in the renal tubule controls both kidney and systemic physiology.","RNA was extracted from the renal tubules of 60 mice. Of these, 30 were conditional knockouts of Arntl (Bmal1) and 30 were of control genotype. They were housed under 12-hours light/12-hours dark cycles and were sacrificed at six different time points: zeitgeber time ZT 0, ZT 4, ZT 8, ZT 12, ZT 16, ZT 20 (ZT 0 being the time of light on and ZT 12 the time of light off). Five replicates per genotype and time point were included. Technical note: The FASTQ file for sample 56 (""Renal tubule, cKO genotype, ZT12, rep 5"") is incomplete: The last 8201575 of 27714258 reads are missing. The original file was corrupted (truncated) at the sequencing facility due to a technical problem on a server cluster. However, the processed data file of this sample is unaffected and contains the raw read counts from the original, complete FASTQ data.",36862511,,,696195,GPL21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/03/05,60,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216252/,Multiomics reveals multilevel control of renal and systemic metabolism by the renal tubular circadian clock.,The Journal of clinical investigation,2023 Apr 17,10.1172/JCI167133,OSD-513|RR23_KDN_GC_G1_techrep1,Ground Control
