,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
0,GSM7437563,0.9996242523193359,GSE233829,TNRC18 recognizes H3K9me3 to mediate transposable elements silencing at ERV regions [T18-tissue RNA-Seq],,,"Trimethylation of histone H3 lysine 9 (H3K9me3) is critical for regulation of gene repression and heterochromatin formation, cell-fate determination, and organismal development. In particular, H3K9me3 provides an essential mechanism for silencing various transposon elements (TEs). However, previous studies showed that the canonical H3K9me3 readers (e.g. HP1 and MPP8) play rather limited roles in silencing endogenous retroviruses (ERVs), one of major TE classes in the mammalian genome. Here, we report that Trinucleotide Repeat Containing 18 (TNRC18), a previously under-studied chromatin regulator, recognizes H3K9me3 and directly binds ERVs, mediating ERV silencing. Our biochemical, biophysical and structural studies identified the C-terminal Bromo Adjacent Homology (BAH) domain of TNRC18 (TNRC18BAH) as a H3K9me3-specific reader, and its N-terminal segment as a platform for direct recruitment of co-repressors such as TRIM28 and HDAC-Sin3-NCoR complexes, thereby enforcing optimal repression of the H3K9me3-demarcated ERVs. Point mutagenesis that disrupts the TNRC18BAH-mediated H3K9me3 engagement caused neonatal lethality in mice and, in multiple mammalian cell models, led to de-repressed expression of ERVs, affecting the landscape of cis-regulatory elements and thus gene-expression programs. Collectively, this study describes a previously-unknown TNRC18BAH-directed H3K9me3-sensing pathway, which operates to epigenetically silence the evolutionarily young ERVs, thereby exerting profound impacts on host genome integrity, transcriptomic regulation, immunity, and development.","To assess the function of the TNRC18-BAH domain in different organs, we isolated the primary tissues, namely, the lung, liver, heart, stomach and brain, from adult WT mice (n =2) and the paired littermates carrying Tnrc18-BAH homozygous mutation (W2745A/Y2747A; n=3), followed by preparation of total RNA samples and RNA-sequencing (n=2 duplicates per sample).  The processing of transcriptomic profiles used two different methods for analysis of either regular genes or transposable elements (TEs).",37938770,,,791804,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/07/24,50,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233829/,TNRC18 engages H3K9me3 to mediate silencing of endogenous retrotransposons.,Nature,2023 Nov,10.1038/s41586-023-06688-z,OSD-599|GSM6996077,Ground Control
1,GSM7437564,0.9995806813240051,GSE233829,TNRC18 recognizes H3K9me3 to mediate transposable elements silencing at ERV regions [T18-tissue RNA-Seq],,,"Trimethylation of histone H3 lysine 9 (H3K9me3) is critical for regulation of gene repression and heterochromatin formation, cell-fate determination, and organismal development. In particular, H3K9me3 provides an essential mechanism for silencing various transposon elements (TEs). However, previous studies showed that the canonical H3K9me3 readers (e.g. HP1 and MPP8) play rather limited roles in silencing endogenous retroviruses (ERVs), one of major TE classes in the mammalian genome. Here, we report that Trinucleotide Repeat Containing 18 (TNRC18), a previously under-studied chromatin regulator, recognizes H3K9me3 and directly binds ERVs, mediating ERV silencing. Our biochemical, biophysical and structural studies identified the C-terminal Bromo Adjacent Homology (BAH) domain of TNRC18 (TNRC18BAH) as a H3K9me3-specific reader, and its N-terminal segment as a platform for direct recruitment of co-repressors such as TRIM28 and HDAC-Sin3-NCoR complexes, thereby enforcing optimal repression of the H3K9me3-demarcated ERVs. Point mutagenesis that disrupts the TNRC18BAH-mediated H3K9me3 engagement caused neonatal lethality in mice and, in multiple mammalian cell models, led to de-repressed expression of ERVs, affecting the landscape of cis-regulatory elements and thus gene-expression programs. Collectively, this study describes a previously-unknown TNRC18BAH-directed H3K9me3-sensing pathway, which operates to epigenetically silence the evolutionarily young ERVs, thereby exerting profound impacts on host genome integrity, transcriptomic regulation, immunity, and development.","To assess the function of the TNRC18-BAH domain in different organs, we isolated the primary tissues, namely, the lung, liver, heart, stomach and brain, from adult WT mice (n =2) and the paired littermates carrying Tnrc18-BAH homozygous mutation (W2745A/Y2747A; n=3), followed by preparation of total RNA samples and RNA-sequencing (n=2 duplicates per sample).  The processing of transcriptomic profiles used two different methods for analysis of either regular genes or transposable elements (TEs).",37938770,,,791805,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/07/24,50,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233829/,TNRC18 engages H3K9me3 to mediate silencing of endogenous retrotransposons.,Nature,2023 Nov,10.1038/s41586-023-06688-z,OSD-599|GSM6996077,Ground Control
2,GSM5982086,0.9995660185813904,GSE199702,"Transcriptomics analysis of heart, kidney, and liver tissues from 58 Collaborative Cross strains",,,"We report transcriptomic profiling from bulk heart, kidney, and liver tissues for 58 strains of the inbred mouse Collaborative Cross (CC). Each strain is represented by a male/female pair. Reads were first aligned to the pooled transcriptomes of the eight founder strains of the CC and then total gene counts were quantified using the EMASE and GBRS software tools. Total read counts can be further normalized for use in differential gene expression analysis, expression quantitative trait locus (eQTL) analysis, and integrative analyses with other -omic data sets measured on the same samples, including proteomics and phosphoproteomics.","RNA profiling of heart, kidney, and liver bulk tissues of male/female pairs from 58 Collaborative Cross (CC) mouse strains",,,,617701,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/05,348,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199702/,,,,,OSD-599|GSM6996077,Ground Control
3,GSM4764069,0.9995549917221069,GSE157396,Time dependence of volume overload on right ventricular remodeling during preadolescence,,,"We reported the RNAseq analyses of right ventricualr free wall myocardium in young volume overload (VO)  C57/BL6 mice.VO was induced by the fistula between abdominal aorta and inferior vena cava (AVF) on postnatal day 7(P7). RNAseq analyses of RV free wall at P14 and P21from VO and sham-operated mice revealed that there were 981 differentially expressed genes between VO and sham group at P14, this number increased to 1907 at P21, there were 3012 differentially expressed genes between P21 and P14 sham group, and the number increased to 3470 at the presence of VO. GO analysis showed that in the VO and sham comparison, the upregulated genes mainly mediated mitosis and cell division and the downregulated genes mainly mediated heart contraction at P14, and the upregulated genes mainly mediated immune response, and downregulated genes mainly mediated cellular respiration at P21. As expected, in the normal RV development during preadolescence (from P14 to P21), upregulated genes mainly mediated oxidative phosphorylation and cellular respiration and the downregulated genes mainly mediated vasculogenesis. VO changed the RV development, the upregulated genes mainly mediated heart contraction and the down regulated genes mainly mediated vasculogenesis and cell cycle. KEGG pathway analysis revealed that cell cycle pathway was upregulated and cardiac muscle contraction and thyroid hormone signaling pathway were downregulated between VO and sham group at P14, phagosome pathway was upregulated and citrate cycle (TCA) cycle and thermogenesis were downregulated at P21 between VO and sham group. In the normal RV development, TCA cycle and cardiac muscle contraction pathway were upregulated while VO changed that to the upregulations of cardiomyopathy pathways and thyroid hormone signaling pathway. All the above changes were further confirmed by the functional tests.",RNAseq analyses of right ventricular free wall myocardium in young volume overload and sham-operated C57/BL6 mice,34365468;34387124;38666846;39609689;40046024,,,414017,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/08/16,12,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157396/,Downregulated developmental processes in the postnatal right ventricle under the influence of a volume overload.,Cell death discovery,2021 Aug 7,10.1038/s41420-021-00593-y,OSD-599|GSM6996077,Ground Control
4,GSM5982078,0.9995405077934265,GSE199702,"Transcriptomics analysis of heart, kidney, and liver tissues from 58 Collaborative Cross strains",,,"We report transcriptomic profiling from bulk heart, kidney, and liver tissues for 58 strains of the inbred mouse Collaborative Cross (CC). Each strain is represented by a male/female pair. Reads were first aligned to the pooled transcriptomes of the eight founder strains of the CC and then total gene counts were quantified using the EMASE and GBRS software tools. Total read counts can be further normalized for use in differential gene expression analysis, expression quantitative trait locus (eQTL) analysis, and integrative analyses with other -omic data sets measured on the same samples, including proteomics and phosphoproteomics.","RNA profiling of heart, kidney, and liver bulk tissues of male/female pairs from 58 Collaborative Cross (CC) mouse strains",,,,617693,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/05,348,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199702/,,,,,OSD-599|GSM6996077,Ground Control
5,GSM7187093,0.9995380640029907,GSE230102,Conserved multitissue transcriptomic adaptations to exercise training in humans and mice,,,"Physical activity is associated with beneficial adaptations in human and rodent metabolism. We studied over 50 complex traits before and after exercise intervention in middle-aged men and a panel of 100 diverse strains of female mice. Candidate gene analyses in three brain regions, muscle, liver, heart, and adipose tissue of mice revealed genetic drivers of clinically relevant traits including volitional exercise volume, muscle metabolism, adiposity, and hepatic lipids. Although ~33% of genes differentially expressed in skeletal muscle following the exercise intervention were similar in mice and men independent of BMI, responsiveness of adipose tissue to exercise-stimulated weight loss appears impacted by species and underlying genotype. We leveraged genetic diversity to generate prediction models of metabolic trait responsiveness to volitional activity offering a framework for advancing personalized exercise prescription. Finally, we make the human and mouse data publicly available via user-friendly web-based application to enhance data mining and hypothesis development.","Expression profiling by RNA-Seq for five tissues (gonadal white adipose, heart, liver, quadriceps, brown adipose) in 50 inbred mouse strains under sedentary and exercised conditions",37178122,,,775247,GPL21493; GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/04/20,499,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230102/,Conserved multi-tissue transcriptomic adaptations to exercise training in humans and mice.,Cell reports,2023 May 30,10.1016/j.celrep.2023.112499,OSD-599|GSM6996077,Ground Control
6,GSM5982074,0.9995273351669312,GSE199702,"Transcriptomics analysis of heart, kidney, and liver tissues from 58 Collaborative Cross strains",,,"We report transcriptomic profiling from bulk heart, kidney, and liver tissues for 58 strains of the inbred mouse Collaborative Cross (CC). Each strain is represented by a male/female pair. Reads were first aligned to the pooled transcriptomes of the eight founder strains of the CC and then total gene counts were quantified using the EMASE and GBRS software tools. Total read counts can be further normalized for use in differential gene expression analysis, expression quantitative trait locus (eQTL) analysis, and integrative analyses with other -omic data sets measured on the same samples, including proteomics and phosphoproteomics.","RNA profiling of heart, kidney, and liver bulk tissues of male/female pairs from 58 Collaborative Cross (CC) mouse strains",,,,617689,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/05,348,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199702/,,,,,OSD-599|GSM6996077,Ground Control
7,GSM5982087,0.9995235800743103,GSE199702,"Transcriptomics analysis of heart, kidney, and liver tissues from 58 Collaborative Cross strains",,,"We report transcriptomic profiling from bulk heart, kidney, and liver tissues for 58 strains of the inbred mouse Collaborative Cross (CC). Each strain is represented by a male/female pair. Reads were first aligned to the pooled transcriptomes of the eight founder strains of the CC and then total gene counts were quantified using the EMASE and GBRS software tools. Total read counts can be further normalized for use in differential gene expression analysis, expression quantitative trait locus (eQTL) analysis, and integrative analyses with other -omic data sets measured on the same samples, including proteomics and phosphoproteomics.","RNA profiling of heart, kidney, and liver bulk tissues of male/female pairs from 58 Collaborative Cross (CC) mouse strains",,,,617702,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/05,348,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199702/,,,,,OSD-599|GSM6996077,Ground Control
8,GSM5982080,0.9995158910751343,GSE199702,"Transcriptomics analysis of heart, kidney, and liver tissues from 58 Collaborative Cross strains",,,"We report transcriptomic profiling from bulk heart, kidney, and liver tissues for 58 strains of the inbred mouse Collaborative Cross (CC). Each strain is represented by a male/female pair. Reads were first aligned to the pooled transcriptomes of the eight founder strains of the CC and then total gene counts were quantified using the EMASE and GBRS software tools. Total read counts can be further normalized for use in differential gene expression analysis, expression quantitative trait locus (eQTL) analysis, and integrative analyses with other -omic data sets measured on the same samples, including proteomics and phosphoproteomics.","RNA profiling of heart, kidney, and liver bulk tissues of male/female pairs from 58 Collaborative Cross (CC) mouse strains",,,,617695,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/05,348,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199702/,,,,,OSD-599|GSM6996077,Ground Control
9,GSM5982072,0.9995120167732239,GSE199702,"Transcriptomics analysis of heart, kidney, and liver tissues from 58 Collaborative Cross strains",,,"We report transcriptomic profiling from bulk heart, kidney, and liver tissues for 58 strains of the inbred mouse Collaborative Cross (CC). Each strain is represented by a male/female pair. Reads were first aligned to the pooled transcriptomes of the eight founder strains of the CC and then total gene counts were quantified using the EMASE and GBRS software tools. Total read counts can be further normalized for use in differential gene expression analysis, expression quantitative trait locus (eQTL) analysis, and integrative analyses with other -omic data sets measured on the same samples, including proteomics and phosphoproteomics.","RNA profiling of heart, kidney, and liver bulk tissues of male/female pairs from 58 Collaborative Cross (CC) mouse strains",,,,617687,GPL24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2023/02/05,348,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199702/,,,,,OSD-599|GSM6996077,Ground Control
