,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython,sample_name,spaceflight
0,GSM4445407,0.997824490070343,GSE147757,A multiple reporter protein tolerant mouse model,,,"We report the generation of a novel mouse strain that is immunologically tolerant to exogenously introduced reporter proteins ('Tol' strain). As a control, we test whether any transcriptomic changes can be observed between the Tol strain and wild-type littermate. This is tested for thymus, cerebrum and cerebellum.",Examination of transcriptomes of 3 different tissues from mice from 2 genotypes.,32472011,,,355133,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/12,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147757/,A mouse model that is immunologically tolerant to reporter and modifier proteins.,Communications biology,2020 May 29,10.1038/s42003-020-0979-0,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
1,GSM4947035,0.9976837635040283,GSE162218,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK driven lymphomagenesis,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33310759,,,437151,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2020/12/08,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162218/,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK-driven lymphomagenesis.,Life science alliance,2021 Feb,10.26508/lsa.202000794,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
2,GSM4445410,0.9976271986961365,GSE147757,A multiple reporter protein tolerant mouse model,,,"We report the generation of a novel mouse strain that is immunologically tolerant to exogenously introduced reporter proteins ('Tol' strain). As a control, we test whether any transcriptomic changes can be observed between the Tol strain and wild-type littermate. This is tested for thymus, cerebrum and cerebellum.",Examination of transcriptomes of 3 different tissues from mice from 2 genotypes.,32472011,,,355136,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/12,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147757/,A mouse model that is immunologically tolerant to reporter and modifier proteins.,Communications biology,2020 May 29,10.1038/s42003-020-0979-0,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
3,GSM4445409,0.9975132942199707,GSE147757,A multiple reporter protein tolerant mouse model,,,"We report the generation of a novel mouse strain that is immunologically tolerant to exogenously introduced reporter proteins ('Tol' strain). As a control, we test whether any transcriptomic changes can be observed between the Tol strain and wild-type littermate. This is tested for thymus, cerebrum and cerebellum.",Examination of transcriptomes of 3 different tissues from mice from 2 genotypes.,32472011,,,355135,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/12,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147757/,A mouse model that is immunologically tolerant to reporter and modifier proteins.,Communications biology,2020 May 29,10.1038/s42003-020-0979-0,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
4,GSM4445403,0.9972636103630066,GSE147757,A multiple reporter protein tolerant mouse model,,,"We report the generation of a novel mouse strain that is immunologically tolerant to exogenously introduced reporter proteins ('Tol' strain). As a control, we test whether any transcriptomic changes can be observed between the Tol strain and wild-type littermate. This is tested for thymus, cerebrum and cerebellum.",Examination of transcriptomes of 3 different tissues from mice from 2 genotypes.,32472011,,,355129,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/12,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147757/,A mouse model that is immunologically tolerant to reporter and modifier proteins.,Communications biology,2020 May 29,10.1038/s42003-020-0979-0,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
5,GSM4947043,0.9972008466720581,GSE162218,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK driven lymphomagenesis,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33310759,,,437159,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2020/12/08,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162218/,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK-driven lymphomagenesis.,Life science alliance,2021 Feb,10.26508/lsa.202000794,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
6,GSM4445405,0.997113823890686,GSE147757,A multiple reporter protein tolerant mouse model,,,"We report the generation of a novel mouse strain that is immunologically tolerant to exogenously introduced reporter proteins ('Tol' strain). As a control, we test whether any transcriptomic changes can be observed between the Tol strain and wild-type littermate. This is tested for thymus, cerebrum and cerebellum.",Examination of transcriptomes of 3 different tissues from mice from 2 genotypes.,32472011,,,355131,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/12,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147757/,A mouse model that is immunologically tolerant to reporter and modifier proteins.,Communications biology,2020 May 29,10.1038/s42003-020-0979-0,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
7,GSM2643075,0.9971075057983398,GSE99364,Stabilization of c-Myc protein by CAMKIIγ promotes T-cell lymphoma,,,"Although high c-Myc protein expression is observed alongside c-Myc gene amplification in some cancers, in most cases protein overexpression occurs while the amplified gene is largely absent, e.g. T-cell lymphoma (TCL). Here, Ca2+/calmodulin-dependent protein kinase II γ (CAMKIIγ) was shown to stabilize c-Myc protein by directly phosphorylating at serine 62 (S62), which represents a hitherto unknown mechanism of c-Myc protein overexpression. Further, CAMKIIγ was shown to be essential for tumor maintenance. Inhibiting CAMKIIγ with a potent CAMKIIγ-specific inhibitor destabilized c-Myc and reduced tumor burden dramatically. Importantly, high CAMKIIγ in clinical patient specimens positively correlated with increased c-Myc / pS62-c-Myc expression. Together, the CAMKIIγ:c-Myc axis critically influences the development and maintenance of TCL, and represent a novel therapeutic target for TCL.","We investigated how deleting CAMKIIγ suppressed the development of MNU-induced TCL in mice. Through RNA-sequencing, we analyzed the gene expression profiles of the thymuses of both wild-type and CAMKIIγ-/- mice, under either malignant (with MNU) or normal (without MNU) conditions.",28697340,,,113753,GPL13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2017/05/27,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99364/,Stabilization of the c-Myc Protein by CAMKIIγ Promotes T Cell Lymphoma.,Cancer cell,2017 Jul 10,10.1016/j.ccell.2017.06.001,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
8,GSM4947041,0.9970127940177917,GSE162218,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK driven lymphomagenesis,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33310759,,,437157,GPL21493,Mus musculus,GSE,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2020/12/08,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162218/,Requirement of DNMT1 to orchestrate epigenomic reprogramming for NPM-ALK-driven lymphomagenesis.,Life science alliance,2021 Feb,10.26508/lsa.202000794,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
9,GSM4445408,0.996969997882843,GSE147757,A multiple reporter protein tolerant mouse model,,,"We report the generation of a novel mouse strain that is immunologically tolerant to exogenously introduced reporter proteins ('Tol' strain). As a control, we test whether any transcriptomic changes can be observed between the Tol strain and wild-type littermate. This is tested for thymus, cerebrum and cerebellum.",Examination of transcriptomes of 3 different tissues from mice from 2 genotypes.,32472011,,,355134,GPL17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/04/12,22,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147757/,A mouse model that is immunologically tolerant to reporter and modifier proteins.,Communications biology,2020 May 29,10.1038/s42003-020-0979-0,OSD-515|RR23_TMS_GC_G1_techrep1,Ground Control
