gsm,score,gse,title,source_name,characteristics,tissue,species,geo_summary,geo_design,pubmed_ids,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython
GSM6431263,0.9970197677612305,GSE210492,"posterior eyecup, Wt, 17 months, 7-2",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Wt,treatment: none,time: 17 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671402,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,,,,
GSM6204794,0.9958381056785583,GSE205070,"RPE, MertkOV1, P25, Biol rep 6",RPE,"tissue: RPE,strain: C57BL/6J,cell type: epithelial,genotype: Mertk knockout version 1,treatment: none, direct ex-vivo use",Eye,Mus musculus,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.","We performed gene expression profiling analysis using data obtained from RNA-sequencing of bone-marrow-derived macrophages (BMDMs) and retinal pigment epithelial (RPE) cells from C57BL/6, Mertk-/-V1, Mertk-/-V2 and Mertk-/-V3 mice.",35969037;36662852,650613,24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/26,30,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205070/,Tissue-specific modifier alleles determine Mertk loss-of-function traits.,eLife,2022 Aug 15,10.7554/eLife.80530
GSM6431262,0.9957278370857239,GSE210492,"posterior eyecup, Wt, 17 months, 7-1",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Wt,treatment: none,time: 17 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671401,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,Complement factor B is critical for sub-RPE deposit accumulation in a model of Doyne honeycomb retinal dystrophy with features of age-related macular degeneration.,Human molecular genetics,2023 Jan 6,10.1093/hmg/ddac187
GSM6431234,0.9956040382385254,GSE210492,"posterior eyecup, Wt, 9 months, 3-4",posterior eyecup,"cell line: posterior eyecup,cell type: female,genotype: Wt,treatment: none,time: 9 months",Other,Mus musculus,"To characterize female aged Efemp1 R345W knock-in (Efemp1ki/ki) mice, a model for Doyne honeycomb retinal dystrophy/malattia leventinese by bulk RNA sequencing We performed differential expression and gene set enrichment analysis analysis using data obtained from RNA-seq of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice",Gene expression profiling analysis of RNA-seq data of of the neural retina and posterior eyecups (whole eye without lens and retina) from 3- to 17-month-old Efemp1+/+ and Efemp1ki/ki mice,35943778,671373,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/10,93,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210492/,,,,
GSM4256053,0.995410680770874,GSE143281,P30 CTL1,Retina,"strain: C57BL/6,tissue: Retina,genotype: control",Eye,Mus musculus,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.","Total RNA in mouse retina after conditional knockout of UXT was isolated and sequenced by deep sequencing using the Hi-Seq (Illumina) platform at Beijing Novel Bioinformatics Co., Ltd. (https://en.novogene.com/).",32744119,330778,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/08/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143281/,Mice deficient in UXT exhibit retinitis pigmentosa-like features via aberrant autophagy activation.,Autophagy,2021 Aug,10.1080/15548627.2020.1796015
GSM6204793,0.9953145980834961,GSE205070,"RPE, MertkOV1, P25, Biol rep 5",RPE,"tissue: RPE,strain: C57BL/6J,cell type: epithelial,genotype: Mertk knockout version 1,treatment: none, direct ex-vivo use",Eye,Mus musculus,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.","We performed gene expression profiling analysis using data obtained from RNA-sequencing of bone-marrow-derived macrophages (BMDMs) and retinal pigment epithelial (RPE) cells from C57BL/6, Mertk-/-V1, Mertk-/-V2 and Mertk-/-V3 mice.",35969037;36662852,650612,24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/26,30,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205070/,Tissue-specific modifier alleles determine Mertk loss-of-function traits.,eLife,2022 Aug 15,10.7554/eLife.80530
GSM3552978,0.9952284693717957,GSE124745,wt_eye_0,wt_eye,"tissue: eye,background: C57BL/6J/129S6 (N3-C57BL/6J, no Neo),official strain name: Tug1_tm1.1Vlcg,genotype: wild type,Sex: M",Eye,Mus musculus,"We have sequenced mouse embryonic fibroblasts (MEFs) and 6 organs (testes, prostate, liver, heart, spleen, and eye) harvested from adult male wild type and Tug1 knockout (Tug1_tm1.1Vlcg) mice in a C57BL/6J/129S6 (N3-C57BL/6J, no Neo) background.  Additional sequencing was done on the testes of a Tug1 rescue mouse, which contains a doxycycline inducible allele for Tug1 (tg(Tug1)) and CAGs-rtTA3 in the Tug1 knockout background (Tug1_tmn1.1Vlcg).","Comparison between wild type and Tug1 knockout (Tug1_tm1.1Vlcg) organs and primary cell transcriptomes. Additional comparisons of the transcriptomes of wildtype, knockout, and rescue testes.",32894169,230241,17021;13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/05/27,52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124745/,The Tug1 lncRNA locus is essential for male fertility.,Genome biology,2020 Sep 7,10.1186/s13059-020-02081-5
GSM2349280,0.995212197303772,GSE88819,wt_eye_0,wt_eye,"tissue: eye,lncrna previous name: Tug1,background: C57BL/6J (N3-C57BL/6J, no Neo),official strain name: Tug1_tm1.1Vlcg,genotype: wt,Sex: M",Eye,Mus musculus,"We have sequenced wild type and mutant testes, prostate, liver, heart, spleen, and eye from adult males, as well as embryonic fibroblasts from the mutant lncRNA strain Tug1_tm1.1Vlcg (Tug1).",Comparison between wild type and mutant organs and primary cell transcriptomes from the Tug1_tm1.1Vlcg mutant strain.,32894169,78535,17021;13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/22,42,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88819/,The Tug1 lncRNA locus is essential for male fertility.,Genome biology,2020 Sep 7,10.1186/s13059-020-02081-5
GSM4256054,0.9951374530792236,GSE143281,P30 CTL2,Retina,"strain: C57BL/6,tissue: Retina,genotype: control",Eye,Mus musculus,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.","Total RNA in mouse retina after conditional knockout of UXT was isolated and sequenced by deep sequencing using the Hi-Seq (Illumina) platform at Beijing Novel Bioinformatics Co., Ltd. (https://en.novogene.com/).",32744119,330779,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/08/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143281/,Mice deficient in UXT exhibit retinitis pigmentosa-like features via aberrant autophagy activation.,Autophagy,2021 Aug,10.1080/15548627.2020.1796015
GSM6204798,0.9950182437896729,GSE205070,"RPE, MertkOV3, P25, Biol rep 1",RPE,"tissue: RPE,strain: C57BL/6J,cell type: epithelial,genotype: Mertk knockout version 3,treatment: none, direct ex-vivo use",Eye,Mus musculus,"Knockout (KO) mouse models play critical roles in elucidating biological processes behind disease-associated or disease-resistant traits. As a consequence of gene KO, mice display certain phenotypes. Based on insight into the molecular role of said gene in a biological process, it is inferred that the particular biological process causally underlies the trait. This approach has been crucial towards understanding the basis of pathological and/or advantageous traits associated with Mertk KO. MERTK is a receptor tyrosine kinase with a critical role in phagocytosis of apoptotic cells or cellular debris. Therefore, early-onset, severe retinal degeneration was described to be a direct consequence of failed phagocytosis of photoreceptor outer segments by retinal pigment epithelia. Similarly, enhanced anti-tumor immunity was inferred to result from the failure of macrophages to dispose cancer cell corpses, resulting in a pro-inflammatory tumor microenvironment. Here we report that the loss of Mertk alone is not sufficient for retinal degeneration. This trait only manifests when the function of the paralog Tyro3 is concomitantly lost. Additionally, the dramatic resistance against two syngeneic mouse tumor models observed in Mertk KO cannot, at least entirely, be ascribed to the loss of Mertk. The widely used Mertk KO carries multiple coincidental changes in its genome that affect the expression of a number of genes, including Tyro3. Nonetheless, neither Tyro3, nor macrophage phagocytosis by alternate genetic redundancy, accounts for the absence of anti-tumor immunity in two independent Mertk KOs. Collectively, our results indicate that context-dependent epistasis of independent modifier alleles determine Mertk KO traits.","We performed gene expression profiling analysis using data obtained from RNA-sequencing of bone-marrow-derived macrophages (BMDMs) and retinal pigment epithelial (RPE) cells from C57BL/6, Mertk-/-V1, Mertk-/-V2 and Mertk-/-V3 mice.",35969037;36662852,650617,24247,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/08/26,30,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205070/,Tissue-specific modifier alleles determine Mertk loss-of-function traits.,eLife,2022 Aug 15,10.7554/eLife.80530
