,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index
0,GSM5829345,0.9990391135215759,,,,,,,,,,593508
1,GSM8250040,0.998833417892456,,,,,,,,,,856679
2,GSM8250955,0.9988332986831665,,,,,,,,,,857148
