,gsm,score,gse,title,source_name,characteristics,geo_summary,geo_design,pubmed_ids,tissue,species,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython
0,GSM2757334,0.999129593372345,GSE103202,Identification of genes regulated by long noncoding RNA H19 in skeletal muscle,,,"Soleus muscle has the most abundant H19 expression compared to other skeletal muscle tissues. In order to identify genes regulated by long noncoding RNA H19 in skeletal muscle, we performed RNA-Seq with dissected WT and H19KO soleus muscles from 21 week old mice. Among the differentially expressed genes, we found skeletal muscle - overexpressed gene DUSP27, which potentially plays an important role in regulating skeletal muscle glucose metabolisim by regulating the activitiy of AMPK, might be a target of H19 mediated regulation.","Soleus muscle was harvested from 21-week old mice, followed by total RNA extraction, library preparation and RNA-seq analysis to compare trancript profiles between WT and H19KO conditions.",30201684,,,130986,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/08/30,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103202/,H19 lncRNA Promotes Skeletal Muscle Insulin Sensitivity in Part by Targeting AMPK.,Diabetes,2018 Nov,10.2337/db18-0370
1,GSM2757336,0.9990315437316895,GSE103202,Identification of genes regulated by long noncoding RNA H19 in skeletal muscle,,,"Soleus muscle has the most abundant H19 expression compared to other skeletal muscle tissues. In order to identify genes regulated by long noncoding RNA H19 in skeletal muscle, we performed RNA-Seq with dissected WT and H19KO soleus muscles from 21 week old mice. Among the differentially expressed genes, we found skeletal muscle - overexpressed gene DUSP27, which potentially plays an important role in regulating skeletal muscle glucose metabolisim by regulating the activitiy of AMPK, might be a target of H19 mediated regulation.","Soleus muscle was harvested from 21-week old mice, followed by total RNA extraction, library preparation and RNA-seq analysis to compare trancript profiles between WT and H19KO conditions.",30201684,,,130988,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/08/30,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103202/,H19 lncRNA Promotes Skeletal Muscle Insulin Sensitivity in Part by Targeting AMPK.,Diabetes,2018 Nov,10.2337/db18-0370
2,GSM2757335,0.9989126920700073,GSE103202,Identification of genes regulated by long noncoding RNA H19 in skeletal muscle,,,"Soleus muscle has the most abundant H19 expression compared to other skeletal muscle tissues. In order to identify genes regulated by long noncoding RNA H19 in skeletal muscle, we performed RNA-Seq with dissected WT and H19KO soleus muscles from 21 week old mice. Among the differentially expressed genes, we found skeletal muscle - overexpressed gene DUSP27, which potentially plays an important role in regulating skeletal muscle glucose metabolisim by regulating the activitiy of AMPK, might be a target of H19 mediated regulation.","Soleus muscle was harvested from 21-week old mice, followed by total RNA extraction, library preparation and RNA-seq analysis to compare trancript profiles between WT and H19KO conditions.",30201684,,,130987,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/08/30,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103202/,H19 lncRNA Promotes Skeletal Muscle Insulin Sensitivity in Part by Targeting AMPK.,Diabetes,2018 Nov,10.2337/db18-0370
3,GSM2757333,0.9988466501235962,GSE103202,Identification of genes regulated by long noncoding RNA H19 in skeletal muscle,,,"Soleus muscle has the most abundant H19 expression compared to other skeletal muscle tissues. In order to identify genes regulated by long noncoding RNA H19 in skeletal muscle, we performed RNA-Seq with dissected WT and H19KO soleus muscles from 21 week old mice. Among the differentially expressed genes, we found skeletal muscle - overexpressed gene DUSP27, which potentially plays an important role in regulating skeletal muscle glucose metabolisim by regulating the activitiy of AMPK, might be a target of H19 mediated regulation.","Soleus muscle was harvested from 21-week old mice, followed by total RNA extraction, library preparation and RNA-seq analysis to compare trancript profiles between WT and H19KO conditions.",30201684,,,130985,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/08/30,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103202/,H19 lncRNA Promotes Skeletal Muscle Insulin Sensitivity in Part by Targeting AMPK.,Diabetes,2018 Nov,10.2337/db18-0370
4,GSM2757331,0.9987758994102478,GSE103202,Identification of genes regulated by long noncoding RNA H19 in skeletal muscle,,,"Soleus muscle has the most abundant H19 expression compared to other skeletal muscle tissues. In order to identify genes regulated by long noncoding RNA H19 in skeletal muscle, we performed RNA-Seq with dissected WT and H19KO soleus muscles from 21 week old mice. Among the differentially expressed genes, we found skeletal muscle - overexpressed gene DUSP27, which potentially plays an important role in regulating skeletal muscle glucose metabolisim by regulating the activitiy of AMPK, might be a target of H19 mediated regulation.","Soleus muscle was harvested from 21-week old mice, followed by total RNA extraction, library preparation and RNA-seq analysis to compare trancript profiles between WT and H19KO conditions.",30201684,,,130983,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/08/30,6,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103202/,H19 lncRNA Promotes Skeletal Muscle Insulin Sensitivity in Part by Targeting AMPK.,Diabetes,2018 Nov,10.2337/db18-0370
5,GSM3940222,0.9987726211547852,GSE134241,Depletion of HuR in murine skeletal muscle enhances exercise endurance and prevents cancer-induced muscle atrophy,,,"Here we show that, when compared to control mice, muscle specific HuR knockout (muHuR-KO) animals have higher exercise endurance that is associated with a significant increase in oxygen consumption and carbon dioxide production. Histological analysis demonstrates that the absence of HuR significantly enhances the proportion of oxidative type I fibers in several skeletal muscles, showing that under normal conditions, HuR promotes the formation of glycolytic type II fibers. HuR mediates this outcome by collaborating with the mRNA decay factor KSRP, to destabilize the PGC-1α mRNA, a well-known promoter of type I fiber formation. Furthermore, the type I fiber-enriched phenotype of muHuR-KO mice is associated with a protection against cancer cachexia-induced muscle wasting",mRNA profiles of Control and muscle specif HuR ko mice was generated by RNA-seq from sckeletal muscle samples in duplicate using Illumina NextSeq 500 platform.,31519904,,,275550,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/08/21,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134241/,Depletion of HuR in murine skeletal muscle enhances exercise endurance and prevents cancer-induced muscle atrophy.,Nature communications,2019 Sep 13,10.1038/s41467-019-12186-6
6,GSM3940223,0.9987108707427979,GSE134241,Depletion of HuR in murine skeletal muscle enhances exercise endurance and prevents cancer-induced muscle atrophy,,,"Here we show that, when compared to control mice, muscle specific HuR knockout (muHuR-KO) animals have higher exercise endurance that is associated with a significant increase in oxygen consumption and carbon dioxide production. Histological analysis demonstrates that the absence of HuR significantly enhances the proportion of oxidative type I fibers in several skeletal muscles, showing that under normal conditions, HuR promotes the formation of glycolytic type II fibers. HuR mediates this outcome by collaborating with the mRNA decay factor KSRP, to destabilize the PGC-1α mRNA, a well-known promoter of type I fiber formation. Furthermore, the type I fiber-enriched phenotype of muHuR-KO mice is associated with a protection against cancer cachexia-induced muscle wasting",mRNA profiles of Control and muscle specif HuR ko mice was generated by RNA-seq from sckeletal muscle samples in duplicate using Illumina NextSeq 500 platform.,31519904,,,275551,19057,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/08/21,4,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134241/,Depletion of HuR in murine skeletal muscle enhances exercise endurance and prevents cancer-induced muscle atrophy.,Nature communications,2019 Sep 13,10.1038/s41467-019-12186-6
7,GSM2685472,0.9986395239830017,GSE100505,Transcriptional Profiling Reveals Extraordinary Diversity Among Skeletal Muscle Tissues,,,"Skeletal muscles are a diverse family of highly specialized tissues that perform a wide array of physiological activities and maintain whole-body glucose metabolism and energy homeostasis. Functional diversity is a distinctive feature of muscle tissues, which demonstrate remarkable variability in their speed of contraction, metabolic profile, resistance to fatigue, and regenerative capacity.  Unsurprisingly, many disorders of skeletal muscle afflict a remarkably specific subset of tissues, including muscular dystrophies, cancer cachexia, aging sarcopenia, and amyotrophic lateral sclerosis. Taken as a whole, these observations indicate that specific genetic programs establish and maintain physiological specialization of muscle tissues. Elucidating these genetic programs is essential to understanding muscle specialization and propensity for disease. Nevertheless, most global profiling studies performed to-date have not directly addressed intrinsic variability between different muscle tissues. This gap in the literature is particularly glaring for more sophisticated mechanisms of gene expression regulation such as circadian control, post-transcriptional regulation and non-coding RNA expression, despite their well-established roles in many disease mechanisms.   In an effort to understand the variability present within specific skeletal muscles with respect to gene expression, our lab has performed RNA-Seq on a variety of skeletal muscle tissues.","126 samples, 17 mouse tissues (all from males), 2 female rat tissues, 2 male rat tissues.  Six replicates for each tissue; each replicate is 3 individual samples pooled.  For mouse tissues, 3 are smooth muscle, 3 are cardiac muscle and 11 are skeletal muscle.  For male & female rat samples, both tissues are skeletal.",29809149,,,116222,14844;13112,Rattus norvegicus; Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/05/18,126,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100505/,Transcriptional profiling reveals extraordinary diversity among skeletal muscle tissues.,eLife,2018 May 29,10.7554/eLife.34613
8,GSM2685471,0.998499870300293,GSE100505,Transcriptional Profiling Reveals Extraordinary Diversity Among Skeletal Muscle Tissues,,,"Skeletal muscles are a diverse family of highly specialized tissues that perform a wide array of physiological activities and maintain whole-body glucose metabolism and energy homeostasis. Functional diversity is a distinctive feature of muscle tissues, which demonstrate remarkable variability in their speed of contraction, metabolic profile, resistance to fatigue, and regenerative capacity.  Unsurprisingly, many disorders of skeletal muscle afflict a remarkably specific subset of tissues, including muscular dystrophies, cancer cachexia, aging sarcopenia, and amyotrophic lateral sclerosis. Taken as a whole, these observations indicate that specific genetic programs establish and maintain physiological specialization of muscle tissues. Elucidating these genetic programs is essential to understanding muscle specialization and propensity for disease. Nevertheless, most global profiling studies performed to-date have not directly addressed intrinsic variability between different muscle tissues. This gap in the literature is particularly glaring for more sophisticated mechanisms of gene expression regulation such as circadian control, post-transcriptional regulation and non-coding RNA expression, despite their well-established roles in many disease mechanisms.   In an effort to understand the variability present within specific skeletal muscles with respect to gene expression, our lab has performed RNA-Seq on a variety of skeletal muscle tissues.","126 samples, 17 mouse tissues (all from males), 2 female rat tissues, 2 male rat tissues.  Six replicates for each tissue; each replicate is 3 individual samples pooled.  For mouse tissues, 3 are smooth muscle, 3 are cardiac muscle and 11 are skeletal muscle.  For male & female rat samples, both tissues are skeletal.",29809149,,,116221,14844;13112,Rattus norvegicus; Mus musculus,GSE,Expression profiling by high throughput sequencing,2018/05/18,126,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100505/,Transcriptional profiling reveals extraordinary diversity among skeletal muscle tissues.,eLife,2018 May 29,10.7554/eLife.34613
9,GSM5016638,0.9984833598136902,GSE164673,Novel biomarkers for a personalized managemnet of Type II Diabetes,,,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,34634522,,,454880,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/11/24,296,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164673/,Plasma triacylglycerols are biomarkers of β-cell function in mice and humans.,Molecular metabolism,2021 Dec,10.1016/j.molmet.2021.101355
