gsm,score,gse,title,source_name,characteristics,tissue,species,geo_summary,geo_design,pubmed_ids,archs4_index,geo_platform_biopython,geo_taxon_biopython,geo_entry_type_biopython,geo_gds_type_biopython,geo_pdat_biopython,geo_n_samples_biopython,geo_ftp_link_biopython,pubmed_title_biopython,pubmed_journal_biopython,pubmed_pub_date_biopython,pubmed_doi_biopython
GSM4256054,0.9870802760124207,GSE143281,P30 CTL2,Retina,"strain: C57BL/6,tissue: Retina,genotype: control",Eye,Mus musculus,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.","Total RNA in mouse retina after conditional knockout of UXT was isolated and sequenced by deep sequencing using the Hi-Seq (Illumina) platform at Beijing Novel Bioinformatics Co., Ltd. (https://en.novogene.com/).",32744119,330779,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/08/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143281/,Mice deficient in UXT exhibit retinitis pigmentosa-like features via aberrant autophagy activation.,Autophagy,2021 Aug,10.1080/15548627.2020.1796015
GSM5704653,0.9867821931838989,GSE189618,Eye,Eye,"tissue: Eye,Sex: male,age: 8-week-old,strain: C57BL/6J",Eye,Mus musculus,Analysis of RNAs from multiple mouse tissues to find kidney-specific genes,"Total RNA obtained from isolated C57BL/6J mice, various tissues.",,573453,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2021/11/29,19,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189618/,,,,
GSM4008353,0.9856425523757935,GSE135415,Mouse 24 h retina 3,Mouse retina,"strain: C57BL/6J,gender: Male,age: 30 days,pmi interval: 24 h,tissue: retina",Eye,Mus musculus,"Accurate analysis of gene expression in human tissues using RNA Sequencing is often dependent on the quality of source material. One major source of variation in mRNA quality is post-mortem time. While it is known that individual transcripts show differential post-mortem stability, few studies have directly and comprehensively analyzed mRNA stability following death, and in particular, the extent to which tissue- and species-specific factors influence post-mortem mRNA stability are poorly understood. This knowledge is particularly important for ocular tissues studies, where tissues obtained post-mortem are frequently used for research or therapeutic applications. To directly investigate this question, we profiled mRNA levels in both neuroretina and retinal pigment epithelium (RPE) from mouse and baboon over a series of post-mortem intervals. We found substantial changes in gene expression as early as 15 minutes in the mouse and as early as three hours in the baboon eye tissues. Importantly, our findings demonstrate both tissue- and species- specific patterns of RNA metabolism, by identifying a set of genes that are either rapidly degraded or very stable in both species and/or tissues. Taken together, the data from this study lays the foundation for understanding RNA regulation post-mortem, and provide novel insights into RNA metabolism in the tissues of the mammalian eye.",Mice at different post-mortem intervals were used to collect retina and RPE/choroid tissues.,31616038,278678,27009;19057,Mus musculus; Papio anubis,GSE,Expression profiling by high throughput sequencing,2019/11/04,106,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135415/,Tissue- and Species-Specific Patterns of RNA metabolism in Post-Mortem Mammalian Retina and Retinal Pigment Epithelium.,Scientific reports,2019 Oct 15,10.1038/s41598-019-51379-3
GSM4256057,0.9846445322036743,GSE143281,P7 CTL1,Retina,"strain: C57BL/6,tissue: Retina,genotype: control",Eye,Mus musculus,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.","Total RNA in mouse retina after conditional knockout of UXT was isolated and sequenced by deep sequencing using the Hi-Seq (Illumina) platform at Beijing Novel Bioinformatics Co., Ltd. (https://en.novogene.com/).",32744119,330782,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/08/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143281/,Mice deficient in UXT exhibit retinitis pigmentosa-like features via aberrant autophagy activation.,Autophagy,2021 Aug,10.1080/15548627.2020.1796015
GSM3552978,0.9845139384269714,GSE124745,wt_eye_0,wt_eye,"tissue: eye,background: C57BL/6J/129S6 (N3-C57BL/6J, no Neo),official strain name: Tug1_tm1.1Vlcg,genotype: wild type,Sex: M",Eye,Mus musculus,"We have sequenced mouse embryonic fibroblasts (MEFs) and 6 organs (testes, prostate, liver, heart, spleen, and eye) harvested from adult male wild type and Tug1 knockout (Tug1_tm1.1Vlcg) mice in a C57BL/6J/129S6 (N3-C57BL/6J, no Neo) background.  Additional sequencing was done on the testes of a Tug1 rescue mouse, which contains a doxycycline inducible allele for Tug1 (tg(Tug1)) and CAGs-rtTA3 in the Tug1 knockout background (Tug1_tmn1.1Vlcg).","Comparison between wild type and Tug1 knockout (Tug1_tm1.1Vlcg) organs and primary cell transcriptomes. Additional comparisons of the transcriptomes of wildtype, knockout, and rescue testes.",32894169,230241,17021;13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/05/27,52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124745/,The Tug1 lncRNA locus is essential for male fertility.,Genome biology,2020 Sep 7,10.1186/s13059-020-02081-5
GSM2349280,0.9844813942909241,GSE88819,wt_eye_0,wt_eye,"tissue: eye,lncrna previous name: Tug1,background: C57BL/6J (N3-C57BL/6J, no Neo),official strain name: Tug1_tm1.1Vlcg,genotype: wt,Sex: M",Eye,Mus musculus,"We have sequenced wild type and mutant testes, prostate, liver, heart, spleen, and eye from adult males, as well as embryonic fibroblasts from the mutant lncRNA strain Tug1_tm1.1Vlcg (Tug1).",Comparison between wild type and mutant organs and primary cell transcriptomes from the Tug1_tm1.1Vlcg mutant strain.,32894169,78535,17021;13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/22,42,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88819/,The Tug1 lncRNA locus is essential for male fertility.,Genome biology,2020 Sep 7,10.1186/s13059-020-02081-5
GSM4256058,0.983741283416748,GSE143281,P7 CTL2,Retina,"strain: C57BL/6,tissue: Retina,genotype: control",Eye,Mus musculus,"Ubiquitously expressed transcript (UXT), a small chaperone-like protein, is widely expressed in diverse human and mouse tissues and is more abundant in retina and kidney. Here, we investigated changes after  conditional knockout of UXT in mouse retina at  molecular, morphological and functional aspects.","Total RNA in mouse retina after conditional knockout of UXT was isolated and sequenced by deep sequencing using the Hi-Seq (Illumina) platform at Beijing Novel Bioinformatics Co., Ltd. (https://en.novogene.com/).",32744119,330783,17021,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/08/07,16,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143281/,Mice deficient in UXT exhibit retinitis pigmentosa-like features via aberrant autophagy activation.,Autophagy,2021 Aug,10.1080/15548627.2020.1796015
GSM2349279,0.9835283160209656,GSE88819,wt_eye_2,wt_eye,"tissue: eye,lncrna previous name: Tug1,background: C57BL/6J (N3-C57BL/6J, no Neo),official strain name: Tug1_tm1.1Vlcg,genotype: wt,Sex: M",Eye,Mus musculus,"We have sequenced wild type and mutant testes, prostate, liver, heart, spleen, and eye from adult males, as well as embryonic fibroblasts from the mutant lncRNA strain Tug1_tm1.1Vlcg (Tug1).",Comparison between wild type and mutant organs and primary cell transcriptomes from the Tug1_tm1.1Vlcg mutant strain.,32894169,78534,17021;13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2019/11/22,42,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE88nnn/GSE88819/,The Tug1 lncRNA locus is essential for male fertility.,Genome biology,2020 Sep 7,10.1186/s13059-020-02081-5
GSM5739119,0.9834789037704468,GSE191104,RPE Bmal1 WT-ZT13-rep3,RPE Bmal1 WT,"strain: C57BL/6,age: 12-16 weeks,genotype: Bmal1 WT,tissue: retinal pigment epithelium",Eye,Mus musculus,"The diurnal peak of phagocytosis by the retinal pigment epithelium (RPE) of photoreceptor outer segments is under circadian control, and it is believed that this process involves interactions from both the retina and RPE. Previous studies have demonstrated that a functional circadian clock exists within multiple retinal cell types and RPE cells. Thereby, the aim of the current study was to determine whether the circadian clock in the retina and or RPE controls the diurnal phagocytic peak of photoreceptor outer segments and whether selective disruption of the circadian clock in the RPE would affect RPE cells function and the viability during aging. To that aim, we first generated and validated an RPE tissue-specific KO of the essential clock gene, Bmal1, and then we determined the daily rhythm in phagocytic activity by the RPE in mice lacking a functional circadian clock in the retina or RPE. Then using electroretinography, spectral domain-optical coherence tomography, and optomotor response measurements of visual function we determined the effect of Bmal1 removal in young (6-month-old) and old (18-months old) mice. RPE morphology and lipofuscin accumulation was also determined in young and old mice. Our data show that the circadian clock in the RPE controls the daily diurnal phagocytic peak of POS. Surprisingly, the lack of a functional RPE circadian clock or the diurnal phagocytic peak does not result in any detectable age-related degenerative phenotype in the retina or RPE. Thus, our results demonstrate that the circadian clock in the RPE controls the daily peak in the phagocytic activity. However, the loss of the circadian clock in the RPE does not result in deterioration of photoreceptors or the RPE during aging.","Retinal pigment epithelium samples from Bmal1-specific KO from RPE cells in mouse, three replicates from a pool of two RPE isolates for each replicate, samples collected at ZT1, ZT7, ZT13, ZT19",35628111,579124,21103,Mus musculus,GSE,Expression profiling by high throughput sequencing,2022/05/12,24,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE191nnn/GSE191104/,The Circadian Clock in the Retinal Pigment Epithelium Controls the Diurnal Rhythm of Phagocytic Activity.,International journal of molecular sciences,2022 May 10,10.3390/ijms23105302
GSM3552977,0.9834539890289307,GSE124745,wt_eye_2,wt_eye,"tissue: eye,background: C57BL/6J/129S6 (N3-C57BL/6J, no Neo),official strain name: Tug1_tm1.1Vlcg,genotype: wild type,Sex: M",Eye,Mus musculus,"We have sequenced mouse embryonic fibroblasts (MEFs) and 6 organs (testes, prostate, liver, heart, spleen, and eye) harvested from adult male wild type and Tug1 knockout (Tug1_tm1.1Vlcg) mice in a C57BL/6J/129S6 (N3-C57BL/6J, no Neo) background.  Additional sequencing was done on the testes of a Tug1 rescue mouse, which contains a doxycycline inducible allele for Tug1 (tg(Tug1)) and CAGs-rtTA3 in the Tug1 knockout background (Tug1_tmn1.1Vlcg).","Comparison between wild type and Tug1 knockout (Tug1_tm1.1Vlcg) organs and primary cell transcriptomes. Additional comparisons of the transcriptomes of wildtype, knockout, and rescue testes.",32894169,230240,17021;13112,Mus musculus,GSE,Expression profiling by high throughput sequencing,2020/05/27,52,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124745/,The Tug1 lncRNA locus is essential for male fertility.,Genome biology,2020 Sep 7,10.1186/s13059-020-02081-5
