Topic,Count,Name,Representation,Representative_Docs,journals
-1,60,-1_mice_target_noncoding_physiological,"['mice', 'target', 'noncoding', 'physiological', 'cachexia', 'ii', 'homeostasis', 'metabolic', 'maintain', 'lab']","['mice', 'mice', 'mice']","['GSE134241', 'GSE103202', 'GSE103202', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE134241', 'GSE134241', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505']"
0,43,0_tissues_seq_dissected_rna,"['tissues', 'seq', 'dissected', 'rna', 'mrna', 'disease', 'whole', 'outcome', 'disorders', 'body']","['tissues', 'tissues', 'tissues']","['GSE100505', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE103202', 'GSE100505', 'GSE103202', 'GSE134241', 'GSE100505', 'GSE100505', 'GSE134241', 'GSE100505', 'GSE100505']"
1,43,1_muscle_muscular__,"['muscle', 'muscular']","['muscle', 'muscle', 'muscle']","['GSE100505', 'GSE134241', 'GSE103202', 'GSE100505']"
2,39,2_type_wt_programs_analysis,"['type', 'wt', 'programs', 'analysis', 'circadian', 'promotes', 'promoter', 'profiling', 'phenotype', 'histological']","['type', 'type', 'type']","['GSE134241', 'GSE103202', 'GSE100505', 'GSE134241', 'GSE100505', 'GSE134241', 'GSE134241', 'GSE100505', 'GSE134241', 'GSE134241']"
3,34,3_dioxide_diversity_sclerosis_resistance,"['dioxide', 'diversity', 'sclerosis', 'resistance', 'regenerative', 'proportion', 'propensity', 'oxygen', 'oxidative', 'literature']","['diversity', 'increase', 'resistance']","['GSE134241', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE134241', 'GSE100505', 'GSE134241', 'GSE134241', 'GSE100505']"
4,32,4_genes_gene_activitiy_genetic,"['genes', 'gene', 'activitiy', 'genetic', 'studies', 'activities']","['genes', 'genes', 'genes']","['GSE103202', 'GSE100505', 'GSE103202', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE100505']"
5,30,5_skeletal___,['skeletal'],"['skeletal', 'skeletal', 'skeletal']","['GSE100505', 'GSE134241', 'GSE103202']"
6,22,6_glucose_metabolisim_fibers_fiber,"['glucose', 'metabolisim', 'fibers', 'fiber', 'consumption', 'absence']","['glucose', 'glucose', 'glucose']","['GSE100505', 'GSE103202', 'GSE103202', 'GSE134241', 'GSE134241', 'GSE134241', 'GSE134241']"
7,22,7_variability_overexpressed_expressed_to,"['variability', 'overexpressed', 'expressed', 'to', 'lateral', 'diverse', 'date']","['variability', 'variability', 'variability']","['GSE100505', 'GSE103202', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505']"
8,21,8_hur_formation_rna_production,"['hur', 'formation', 'rna', 'production', 'carbon']","['HuR', 'HuR', 'HuR']","['GSE134241', 'GSE134241', 'GSE100505', 'GSE103202', 'GSE134241', 'GSE134241']"
9,21,9_h19ko_dusp27_ampk_pgc,"['h19ko', 'dusp27', 'ampk', 'pgc', 'muhur', 'ksrp', 'ko', '1α']","['DUSP27', 'DUSP27', 'H19KO']","['GSE103202', 'GSE103202', 'GSE103202', 'GSE134241', 'GSE134241', 'GSE134241', 'GSE134241', 'GSE134241']"
10,20,10_muscles_mechanisms_observations_conditions,"['muscles', 'mechanisms', 'observations', 'conditions', 'intrinsic']","['muscles', 'muscles', 'muscles']","['GSE100505', 'GSE134241', 'GSE103202', 'GSE100505', 'GSE100505', 'GSE134241', 'GSE100505']"
11,18,11_week_with_speed_normal,"['week', 'with', 'speed', 'normal', 'higher', 'energy', 'protection']","['week', 'week', 'week']","['GSE103202', 'GSE134241', 'GSE100505', 'GSE134241', 'GSE134241', 'GSE100505', 'GSE134241']"
12,17,12_cancer_associated_profile_global,"['cancer', 'associated', 'profile', 'global', 'gap', 'capacity', 'protection']","['cancer', 'cancer', 'associated']","['GSE100505', 'GSE134241', 'GSE134241', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE100505', 'GSE134241']"
13,16,13_regulation_regulating_factor_,"['regulation', 'regulating', 'factor']","['regulation', 'regulation', 'regulation']","['GSE100505', 'GSE103202', 'GSE103202', 'GSE134241']"
14,15,14_h19___,['h19'],"['H19', 'H19', 'H19']",['GSE103202']
15,13,15_expression_array__,"['expression', 'array']","['expression', 'expression', 'expression']","['GSE100505', 'GSE103202', 'GSE100505']"
16,12,16_long_old_aging_,"['long', 'old', 'aging']","['long', 'long', 'old']","['GSE103202', 'GSE103202', 'GSE100505']"
17,12,17_soleus_sarcopenia__,"['soleus', 'sarcopenia']","['soleus', 'soleus', 'Soleus']","['GSE103202', 'GSE100505']"
